
SetupTitle, Id-Vds var const Vbgs
PrimitiveTest, Multi Channel I/V Sweep
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 1
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, 13b2b988-5fd3-42e9-aacf-ffd6af5f2bde
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Vds
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, false
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, -5
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 5
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, Id
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, -0.0023
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 0.0045
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 0.33823529411764708
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 0.33823529411764708
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 0.33823529411764708
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.33823529411764708
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.33823529411764708
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU2:B290X, Name=Vds, Start=-5 V, Stop=5 V, Compliance=5 mA, Pwr Comp=OFF	[VAR2] Unit=SMU1:B290X, Name=Vbgs, Start=-5 V, Stop=5 V, Step=1 V, No. of Steps=11, Compliance=5 mA, Pwr Comp=OFF
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		0	0	0
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, Id-Vds var const Vbgs
Dimension1, 101, 101
Dimension2, 11, 11
DataName, Vds, Id
DataValue, -5, -0.0015447100000000001
DataValue, -4.9, -0.00151078
DataValue, -4.8000000000000007, -0.00147768
DataValue, -4.7, -0.00144575
DataValue, -4.6000000000000005, -0.00141487
DataValue, -4.5, -0.0013852
DataValue, -4.4, -0.00135637
DataValue, -4.3000000000000007, -0.0013288500000000001
DataValue, -4.2, -0.00130208
DataValue, -4.1000000000000005, -0.0012764200000000001
DataValue, -4, -0.00125169
DataValue, -3.9000000000000004, -0.00122783
DataValue, -3.8000000000000003, -0.00120497
DataValue, -3.7, -0.0011830200000000001
DataValue, -3.6, -0.00116156
DataValue, -3.5000000000000004, -0.00114107
DataValue, -3.4000000000000004, -0.00112133
DataValue, -3.3000000000000003, -0.0011016
DataValue, -3.2, -0.00108236
DataValue, -3.1, -0.0010633700000000001
DataValue, -3.0000000000000004, -0.00104434
DataValue, -2.9000000000000004, -0.0010255
DataValue, -2.8000000000000003, -0.0010064
DataValue, -2.7, -0.00098723
DataValue, -2.6, -0.00096771
DataValue, -2.5, -0.00094749
DataValue, -2.4000000000000004, -0.00092683
DataValue, -2.3000000000000003, -0.00090516
DataValue, -2.2, -0.00088211600000000006
DataValue, -2.1, -0.0008578870000000001
DataValue, -2, -0.00083229700000000007
DataValue, -1.9, -0.000805303
DataValue, -1.7999999999999998, -0.000776808
DataValue, -1.7, -0.00074671300000000009
DataValue, -1.5999999999999999, -0.000714958
DataValue, -1.5, -0.00068146200000000008
DataValue, -1.4, -0.000646262
DataValue, -1.3, -0.000609403
DataValue, -1.2, -0.000570906
DataValue, -1.0999999999999999, -0.000530755
DataValue, -1, -0.000489078
DataValue, -0.89999999999999991, -0.000445901
DataValue, -0.79999999999999993, -0.000401308
DataValue, -0.7, -0.000355296
DataValue, -0.6, -0.00030809100000000003
DataValue, -0.5, -0.000259543
DataValue, -0.39999999999999997, -0.000209866
DataValue, -0.3, -0.000159073
DataValue, -0.19999999999999998, -0.00010720400000000001
DataValue, -0.099999999999999992, -5.4308E-05
DataValue, 0, -3.85E-07
DataValue, 0.099999999999999992, 5.4559000000000004E-05
DataValue, 0.19999999999999998, 0.00011049200000000001
DataValue, 0.3, 0.000167526
DataValue, 0.39999999999999997, 0.000225643
DataValue, 0.5, 0.000284994
DataValue, 0.6, 0.000345721
DataValue, 0.7, 0.000407867
DataValue, 0.79999999999999993, 0.000471613
DataValue, 0.89999999999999991, 0.000537107
DataValue, 1, 0.000604177
DataValue, 1.0999999999999999, 0.000673209
DataValue, 1.2, 0.000743887
DataValue, 1.3, 0.000816339
DataValue, 1.4, 0.000890432
DataValue, 1.5, 0.000965909
DataValue, 1.5999999999999999, 0.0010433200000000001
DataValue, 1.7, 0.0011216
DataValue, 1.7999999999999998, 0.00120207
DataValue, 1.9, 0.00128395
DataValue, 2, 0.00136754
DataValue, 2.1, 0.00145215
DataValue, 2.2, 0.00153846
DataValue, 2.3000000000000003, 0.00162596
DataValue, 2.4000000000000004, 0.00171467
DataValue, 2.5, 0.00180495
DataValue, 2.6, 0.00189634
DataValue, 2.7, 0.0019889
DataValue, 2.8000000000000003, 0.00208299
DataValue, 2.9000000000000004, 0.00217782
DataValue, 3.0000000000000004, 0.002274
DataValue, 3.1, 0.00237128
DataValue, 3.2, 0.00246951
DataValue, 3.3000000000000003, 0.0025693400000000003
DataValue, 3.4000000000000004, 0.00267034
DataValue, 3.5000000000000004, 0.002772
DataValue, 3.6, 0.00287548
DataValue, 3.7, 0.00297949
DataValue, 3.8000000000000003, 0.00308414
DataValue, 3.9000000000000004, 0.00318994
DataValue, 4, 0.00329635
DataValue, 4.1000000000000005, 0.00340487
DataValue, 4.2, 0.0035131
DataValue, 4.3000000000000007, 0.0036223
DataValue, 4.4, 0.00373309
DataValue, 4.5, 0.00384456
DataValue, 4.6000000000000005, 0.00395686
DataValue, 4.7, 0.0040704700000000005
DataValue, 4.8000000000000007, 0.00418328
DataValue, 4.9, 0.00429735
DataValue, 5, 0.00441218
DataValue, -5, -0.00149325
DataValue, -4.9, -0.0014555500000000001
DataValue, -4.8000000000000007, -0.00141912
DataValue, -4.7, -0.00138355
DataValue, -4.6000000000000005, -0.00134923
DataValue, -4.5, -0.00131603
DataValue, -4.4, -0.00128367
DataValue, -4.3000000000000007, -0.00125235
DataValue, -4.2, -0.0012219
DataValue, -4.1000000000000005, -0.00119238
DataValue, -4, -0.00116393
DataValue, -3.9000000000000004, -0.0011363
DataValue, -3.8000000000000003, -0.0011097
DataValue, -3.7, -0.0010838900000000001
DataValue, -3.6, -0.00105913
DataValue, -3.5000000000000004, -0.00103556
DataValue, -3.4000000000000004, -0.00101252
DataValue, -3.3000000000000003, -0.00099029
DataValue, -3.2, -0.00096882
DataValue, -3.1, -0.00094805
DataValue, -3.0000000000000004, -0.00092776
DataValue, -2.9000000000000004, -0.00090797
DataValue, -2.8000000000000003, -0.00088837700000000009
DataValue, -2.7, -0.000868947
DataValue, -2.6, -0.00084971
DataValue, -2.5, -0.0008304810000000001
DataValue, -2.4000000000000004, -0.000811112
DataValue, -2.3000000000000003, -0.00079161400000000005
DataValue, -2.2, -0.00077159700000000006
DataValue, -2.1, -0.000751061
DataValue, -2, -0.000729749
DataValue, -1.9, -0.000707664
DataValue, -1.7999999999999998, -0.000684453
DataValue, -1.7, -0.00066006700000000008
DataValue, -1.5999999999999999, -0.00063428500000000006
DataValue, -1.5, -0.00060701100000000007
DataValue, -1.4, -0.000578143
DataValue, -1.3, -0.00054768
DataValue, -1.2, -0.000515392
DataValue, -1.0999999999999999, -0.000481357
DataValue, -1, -0.000445571
DataValue, -0.89999999999999991, -0.00040810600000000004
DataValue, -0.79999999999999993, -0.000368924
DataValue, -0.7, -0.00032808100000000003
DataValue, -0.6, -0.000285684
DataValue, -0.5, -0.00024171000000000002
DataValue, -0.39999999999999997, -0.000196199
DataValue, -0.3, -0.00014925000000000002
DataValue, -0.19999999999999998, -0.00010092900000000001
DataValue, -0.099999999999999992, -5.1286E-05
DataValue, 0, -3.39E-07
DataValue, 0.099999999999999992, 5.1825000000000006E-05
DataValue, 0.19999999999999998, 0.00010515700000000001
DataValue, 0.3, 0.000159709
DataValue, 0.39999999999999997, 0.000215428
DataValue, 0.5, 0.000272435
DataValue, 0.6, 0.000330859
DataValue, 0.7, 0.00039043600000000003
DataValue, 0.79999999999999993, 0.00045156300000000004
DataValue, 0.89999999999999991, 0.000514358
DataValue, 1, 0.000578788
DataValue, 1.0999999999999999, 0.000644935
DataValue, 1.2, 0.000712893
DataValue, 1.3, 0.00078242300000000008
DataValue, 1.4, 0.00085373500000000011
DataValue, 1.5, 0.00092658700000000009
DataValue, 1.5999999999999999, 0.001001058
DataValue, 1.7, 0.0010766
DataValue, 1.7999999999999998, 0.0011542500000000001
DataValue, 1.9, 0.00123344
DataValue, 2, 0.00131373
DataValue, 2.1, 0.0013958
DataValue, 2.2, 0.0014791700000000001
DataValue, 2.3000000000000003, 0.00156404
DataValue, 2.4000000000000004, 0.00165009
DataValue, 2.5, 0.00173743
DataValue, 2.6, 0.00182595
DataValue, 2.7, 0.0019158600000000001
DataValue, 2.8000000000000003, 0.00200686
DataValue, 2.9000000000000004, 0.00209913
DataValue, 3.0000000000000004, 0.00219264
DataValue, 3.1, 0.00228705
DataValue, 3.2, 0.0023829
DataValue, 3.3000000000000003, 0.00247955
DataValue, 3.4000000000000004, 0.00257758
DataValue, 3.5000000000000004, 0.00267622
DataValue, 3.6, 0.00277569
DataValue, 3.7, 0.0028768
DataValue, 3.8000000000000003, 0.00297889
DataValue, 3.9000000000000004, 0.003082
DataValue, 4, 0.00318597
DataValue, 4.1000000000000005, 0.00329086
DataValue, 4.2, 0.0033967
DataValue, 4.3000000000000007, 0.00350316
DataValue, 4.4, 0.00361055
DataValue, 4.5, 0.0037188200000000003
DataValue, 4.6000000000000005, 0.00382805
DataValue, 4.7, 0.00393855
DataValue, 4.8000000000000007, 0.00405035
DataValue, 4.9, 0.00416196
DataValue, 5, 0.00427441
DataValue, -5, -0.00146843
DataValue, -4.9, -0.00142833
DataValue, -4.8000000000000007, -0.00138919
DataValue, -4.7, -0.00135122
DataValue, -4.6000000000000005, -0.00131436
DataValue, -4.5, -0.0012786
DataValue, -4.4, -0.00124369
DataValue, -4.3000000000000007, -0.00120977
DataValue, -4.2, -0.00117687
DataValue, -4.1000000000000005, -0.0011450100000000001
DataValue, -4, -0.00111385
DataValue, -3.9000000000000004, -0.00108384
DataValue, -3.8000000000000003, -0.00105456
DataValue, -3.7, -0.00102613
DataValue, -3.6, -0.00099843
DataValue, -3.5000000000000004, -0.00097175000000000007
DataValue, -3.4000000000000004, -0.00094573
DataValue, -3.3000000000000003, -0.00092032
DataValue, -3.2, -0.0008956630000000001
DataValue, -3.1, -0.000871641
DataValue, -3.0000000000000004, -0.000848545
DataValue, -2.9000000000000004, -0.00082621200000000011
DataValue, -2.8000000000000003, -0.000804503
DataValue, -2.7, -0.000783447
DataValue, -2.6, -0.000762925
DataValue, -2.5, -0.000742797
DataValue, -2.4000000000000004, -0.00072304500000000007
DataValue, -2.3000000000000003, -0.000703528
DataValue, -2.2, -0.000684073
DataValue, -2.1, -0.000664602
DataValue, -2, -0.00064495300000000008
DataValue, -1.9, -0.000624958
DataValue, -1.7999999999999998, -0.00060433300000000008
DataValue, -1.7, -0.00058319
